نوع البطوله,رقم الجوله ,الفرق,نتيجه المباراه ,توقيت المباراه,حاله المباراه
الدوري المصري,الجولة الخامسة, الاتحاد السكندري  V.S  غزل المحلة  ,0 -  0,17:00,انتهت
الدوري المصري,الجولة الخامسة, بيراميدز  V.S  الإسماعيلي  ,1 -  1,20:00,انتهت
الدوري الإنجليزي,الأسبوع السابع عشر, مانشستر سيتي  V.S  أستون فيلا  ,2 -  1,14:30,انتهت
الدوري الإنجليزي,الأسبوع السابع عشر, نيوكاسل  V.S  إيبسويتش تاون  ,0 -  4,17:00,انتهت
الدوري الإنجليزي,الأسبوع السابع عشر, برايتون  V.S  وست هام يونايتد  ,1 -  1,17:00,انتهت
الدوري الإنجليزي,الأسبوع السابع عشر, نوتينجهام فورست  V.S  برينتفورد  ,0 -  2,17:00,انتهت
الدوري الإنجليزي,الأسبوع السابع عشر, أرسنال  V.S  كريستال بالاس  ,1 -  5,19:30,انتهت
الدوري الإسباني,الأسبوع الثامن عشر, مايوركا  V.S  خيتافي  ,0 -  1,15:00,انتهت
الدوري الإسباني,الأسبوع الثامن عشر, ريال سوسيداد  V.S  سيلتا فيجو  ,2 -  0,17:15,انتهت
الدوري الإسباني,الأسبوع الثامن عشر, أتلتيك بلباو  V.S  أوساسونا  ,1 -  2,19:30,انتهت
الدوري الإسباني,الأسبوع الثامن عشر, اتلتيكو مدريد  V.S  برشلونة  ,1 -  2,22:00,انتهت
خليجي 26,الجولة الاولي, عمان  V.S  الكويت  ,1 -  1,19:00,انتهت
خليجي 26,الجولة الاولي, الإمارات  V.S  قطر  ,1 -  1,21:00,انتهت
كأس فرنسا,دور الـ 64, نانت  V.S  درانسي  ,0 -  4,19:00,انتهت
كأس فرنسا,دور الـ 64, نيس  V.S  يو إس سي كورت  ,1 -  1,19:00,انتهت
الدوري الألماني,الأسبوع الخامس عشر, ماينز  V.S  آ. فرانكفورت  ,1 -  3,16:30,انتهت
الدوري الألماني,الأسبوع الخامس عشر, مونشنجلادباخ  V.S  هوفنهايم  ,1 -  2,16:30,انتهت
الدوري الألماني,الأسبوع الخامس عشر, أوجسبورج  V.S  هولشتاين كيل  ,5 -  1,16:30,انتهت
الدوري الألماني,الأسبوع الخامس عشر, سانت باولي  V.S  شتوتجارت  ,0 -  1,16:30,انتهت
الدوري الألماني,الأسبوع الخامس عشر, يونيون برلين  V.S  فيردر بريمن  ,4 -  1,16:30,انتهت
الدوري الألماني,الأسبوع الخامس عشر, فرايبورج  V.S  باير ليفركوزن  ,5 -  1,19:30,انتهت
الدوري الإيطالي,الأسبوع السابع عشر, بولونيا  V.S  تورينو  ,0 -  2,16:00,انتهت
الدوري الإيطالي,الأسبوع السابع عشر, نابولي  V.S  جنوى  ,1 -  2,19:00,انتهت
الدوري الإيطالي,الأسبوع السابع عشر, لاتسيو  V.S  ليتشي  ,1 -  2,21:45,انتهت
الدوري التركي,الأسبوع السابع عشر, سامسون سبور  V.S  سيفاسبور  ,0 -  0,15:00,انتهت
الدوري التركي,الأسبوع السابع عشر, ألانيا سبور  V.S  بشكتاش  ,1 -  1,18:00,انتهت
الدوري البرتغالي,الأسبوع الخامس عشر, فيرنسي  V.S  فاماليكاو  ,1 -  2,17:30,انتهت
الدوري البرتغالي,الأسبوع الخامس عشر, اي في اس فوتبول  V.S  بوافيستا  ,0 -  0,20:00,انتهت
الدوري البرتغالي,الأسبوع الخامس عشر, بورتو  V.S  موريرنسي  ,0 -  3,22:30,انتهت
الدوري المغربي,الأسبوع الخامس عشر, المغرب التطواني  V.S  الشباب الرياضي السالمي  ,2 -  0,17:00,انتهت
الدوري المغربي,الأسبوع الخامس عشر, الدفاع الجديدي  V.S  اتحاد طنجة  ,1 -  1,19:00,انتهت
